Close,Date
213.3393096923828,2485
211.8007049560547,2486
230.8936309814453,2487
232.45223999023438,2488
234.95999145507812,2489
234.16000366210938,2490
239.94000244140625,2491
239.55999755859375,2492
240.77999877929688,2493
241.3800048828125,2494
251.75999450683594,2495
251.4199981689453,2496
249.85000610351562,2497
252.3300018310547,2498
255.24000549316406,2499
252.8800048828125,2500
252.33999633789062,2501
247.8300018310547,2502
246.57000732421875,2503
247.17999267578125,2504
244.36000061035156,2505
243.5500030517578,2506
245.5399932861328,2507
246.42999267578125,2508
246.4499969482422,2509
251.50999450683594,2510
247.1300048828125,2511
245.4600067138672,2512
242.2100067138672,2513
237.49000549316406,2514
